5;0.508
10;0.5155
15;0.5295
20;0.5455
25;0.551
30;0.567
35;0.5685
40;0.5705
45;0.5895
50;0.601
55;0.6075
60;0.607
65;0.6185
70;0.6285
75;0.6255
80;0.6375
85;0.646
90;0.659
95;0.673
100;0.684
105;0.6865
110;0.698
115;0.7035
120;0.7025
125;0.701
130;0.7105
135;0.7185
140;0.737
145;0.7475
150;0.7365
155;0.7285
160;0.7535
165;0.75
170;0.749
175;0.7815
180;0.772
185;0.784
190;0.777
195;0.7795
200;0.7925
205;0.7815
210;0.7935
215;0.8135
220;0.805
225;0.809
230;0.8145
235;0.8195
240;0.822
245;0.829
250;0.827
255;0.8395
260;0.8425
265;0.8505
270;0.8405
275;0.829
280;0.8555
285;0.8525
290;0.8515
295;0.852
300;0.862
305;0.8735
310;0.8775
315;0.871
320;0.874
325;0.873
330;0.8725
335;0.892
340;0.897
345;0.8865
350;0.8905
355;0.8825
360;0.8905
365;0.902
370;0.8865
375;0.896
380;0.917
385;0.898
390;0.9025
395;0.9135
400;0.91
405;0.92
410;0.915
415;0.918
420;0.924
425;0.929
430;0.9185
435;0.922
440;0.924
445;0.928
450;0.9255
455;0.9345
460;0.9415
465;0.931
470;0.94
475;0.934
480;0.9455
485;0.938
490;0.94
495;0.9445
500;0.939
505;0.95
510;0.9465
515;0.9525
520;0.9505
525;0.9515
530;0.9495
535;0.953
540;0.954
545;0.95
550;0.9535
555;0.9475
560;0.9615
565;0.9515
570;0.957
575;0.958
580;0.9585
585;0.9685
590;0.962
595;0.9605
600;0.9615
605;0.962
610;0.962
615;0.97
620;0.963
625;0.969
630;0.9625
635;0.9705
640;0.973
645;0.971
650;0.972
655;0.963
660;0.9675
665;0.9735
670;0.9735
675;0.9795
680;0.974
685;0.972
690;0.983
695;0.974
700;0.973
705;0.979
710;0.9735
715;0.9765
720;0.9805
725;0.9745
730;0.9855
735;0.9755
740;0.978
745;0.9775
750;0.9785
755;0.983
760;0.9845
765;0.9845
770;0.983
775;0.983
780;0.9795
785;0.9825
790;0.9895
795;0.985
800;0.983
805;0.9855
810;0.9865
815;0.988
820;0.9865
825;0.985
830;0.988
835;0.9855
840;0.987
845;0.986
850;0.987
855;0.988
860;0.9875
